nome_cliente_12;codice_articolo_12;articolo_colore_12;unita_di_misura_12;quantita_12;imponibile_12
NEMAR SPA;PF0035784620XTC1005;78/46/2 ELAS RIT TACTEL - GRIGIO STL;KG;339,920001387596;4215,02
NEMAR SPA;PF0035784620XTC1006;78/46/2 ELAS RIT TACTEL - CIPRIA E88;KG;173,05999994278;2145,95
NEMAR SPA;PF0035784620XTC1007;78/46/2 ELAS RIT TACTEL - AZUL 2125;KG;68,3399996757507;847,42
NEMAR SPA;PF0035784620XTC1008;78/46/2 ELAS RIT TACTEL - FUXIA PITTI;KG;266,359997302294;3332,88
NEMAR SPA;PF0035784620XTC1010;78/46/2 ELAS RIT TACTEL - ROSA CROCUS 1050;KG;425,230000734329;5272,85
NEMAR SPA;PF0035784620XTC1020;78/46/2 ELAS RIT TACTEL - VIOLA 19-3438;KG;21,2200002670288;280,72
NEMAR SPA;PF0035784620XTC1021;78/46/2 ELAS RIT TACTEL - ADRIA E 95;KG;16,9800000190735;210,55
NASTRIFICIO ZINGONIA SRL;;;KG;148,520004272461;-3029,5
NASTRIFICIO ZINGONIA SRL;;;kg;103,160003662109;-113,48
NASTRIFICIO ZINGONIA SRL;;;;;
NASTRIFICIO ZINGONIA SRL;PF00360156T0X661002;156/1 TACTEL RIT PA 66 - BLU RANGER;KG;26,149999499321;387,14
NASTRIFICIO ZINGONIA SRL;PF00360156T0X661023;156/1 TACTEL RIT PA 66 - BLU CATANZARO;KG;41,3699998855591;603,25
